,name,rating,address,phone
36,Message Motor Driving School,4.9,"Survey No. 34, Shop No. 5, Venkateshwara Homes, Nilgiri Road, Ambegaon, Opp Ganesh Super Market, Pune, Maharashtra 411046",098238 92111
37,Kale Motor,4.7,"721/21, Senadatt Police Chowky Shojari, Senadutta Peth, Navi Peth, Sadashiv Peth, Pune, Maharashtra 411030",075170 54797
38,Classic Motor Training School,4.4,"460, Centre Street (Bhopla chowk, behind Kohinoor Hotel, Camp, Pune, Maharashtra 411001",093711 61601
39,Surbhi Motor Driving School,4.8,"Gitanjali Apartment , Below Vintage 7, Nr Medipoint Hospital, New DP Rd, Aundh, Pune, Maharashtra 411007",089561 40977
40,Om Motor Driving School Pune,4.9,"Shop No 12A, Gera Landmark, opp. Kalyani Bunglow, near ICIC Bank & IRANI Cafe, Nilanjali Society, Kalyani Nagar, Pune, Maharashtra 411006",097663 73737
41,Virendra Motor Driving School,4.6,"Kumar Park D Wing, 10, Bibwewadi Kondhwa Rd, Market Yard, Gultekadi, Pune, Maharashtra 411037",098909 13491
42,Shree Swaraj Motor Driving School,4.9,"No 19/2, Shop No. 8, Sunshree Suntec, S, 20/1, NIBM Rd, Kondhwa, Pune, Maharashtra 411048",nan
43,Shriram motor driving school,5.0,"Smita Heights , Co-Operative Housing Society, Lane Number 4, Paud Road, Ramkrishna Paramhans Nagar, Kothrud, Pune, Maharashtra 411038",098223 73322
44,Samarth Motor Driving School,4.8,"Shop No 1, Avdhoot Heights, Chowk Opp.Santosh Hall, Sinhgad Rd, near bank of maharashtra, Anand Nagar, Pune, Maharashtra 411051",098500 21976
45,Yogiraj Driving School,5.0,"20/1 Punyainagar dhaneshwar colony prawara building, flat 5 k k market road, gate, Street No. 1, opp. K K market, Dhankawadi, Pune, Maharashtra 411043",099219 68525
46,KALESHWARI MOTOR DRIVING SCHOOL,5.0,"Yashashree Aptment . Flat no 104 sarve no 34/2 Road, 10 C, Vidyanagar, near morya uddyan, Tingre Nagar, Pune, Maharashtra 32",097659 66477
47,New Mauli motor Driving School,5.0,"Raghunandan Nivas, near Jadhav Haveli, Jadhav Nagar, Vadgaon BK, Pune, Maharashtra 411041",097630 71872
48,MyABC Motor Driving School,4.3,"Shop No. 4, Lane, Sinhgad Rd, opp. Brahma Hotel, Ganesh Complex, Manik Baug, Anand Nagar, Pune, Maharashtra 411051",099752 80995
49,Misal Motor Driving School,5.0,"GANGA DHAM PHASE-2, S. No 614, Gangadham Phase 1, Shop no 8A Dhanganga Business Centre Ground Floor Marketyard, Pune, Maharashtra 411037",090216 00951
50,Jagdish motor driving school ambegaon,5.0,"Shop no 7, chakradhar hight, nr. shree krishna mandir, opp. to Shiv Srushti Road, Ambegaon BK, Pune, Maharashtra 411046",nan
51,Shree Guru Motor Driving School - Bibewadi,5.0,"Shop no. 14, Raskar Palace, near Regent Gym, Renuka Society, Upper Indira Nagar, Bibwewadi, Pune, Maharashtra 411037",099222 03938
52,SP DRIVING TRAINING SCHOOL,5.0,"299, Navi Khadki, Yerawada, Pune, Maharashtra 411006",080553 85572
53,Jay Ganesh Motor driving School,4.9,"Shop no 4 B wing, Datta Palace, Pan Card Club Rd, near Datta Mandir, Baner, Pune, Maharashtra 411045",098238 14888
54,DriveEzy Motor Driving School,5.0,"Shop no.20b, Jayganesh plaza, iscon temple chowk, near Kanha Veg Hotel, Kondhwa Budruk, Pune, Maharashtra 411048",099212 10015
55,Mahesh Motor Driving School,4.7,"Shop no-6, Gangadham Collidium-1, Aaimata Mandir Road. Pune-411037, Market Yard, Pune, Maharashtra 411037",077209 11234
56,Maruti Driving School,4.8,"S No.-458, 1, Dhotre Path, opposite Om Super Market, Model Colony, Shivajinagar, Pune, Maharashtra 411016",nan
57,Mahesh Motor Driving School,4.8,"Sr No-84,Manik Moti Complex, C Building, Shop No-4,Katraj,Pune, Pune, Maharashtra 411046",088058 21234
58,Baheti Motor Driving School,4.8,"Office No.102 Gulab Pavillion Sr. No. 657, Shivaji Nagar, Deccan Gymkhana, Pune, Maharashtra 411004",098900 85383
59,REHAN MOTOR DRIVING SCHOOL (p&d point),4.4,"A4 autos, Suswani complex, Kondhwa, Pune, Maharashtra 411048",099199 16323
60,Sonhira Motor Driving School Katraj,4.6,"Shop No 7 Payal Apartment, Near Cosmos Bank, Bhararti Vidyapeeth, Dattanagar Rd, Katraj, Pune, Maharashtra 411046",090967 68607
61,Mahesh Motor Driving School,4.7,"Shop no-6, Gangadham Collidium-1, Aaimata Mandir Road. Pune-411037, Market Yard, Pune, Maharashtra 411037",077209 11234
62,Shree Sainath Motor Driving School Dhanori,4.9,"Shop No. 18, BLOCK-A, Madhav Nagar, Dhanori, Pune, Maharashtra 411015",089759 70596
63,Maruti Driving School,4.8,"S No.-458, 1, Dhotre Path, opposite Om Super Market, Model Colony, Shivajinagar, Pune, Maharashtra 411016",nan
64,REHAN MOTOR DRIVING SCHOOL (p&d point),4.4,"A4 autos, Suswani complex, Kondhwa, Pune, Maharashtra 411048",099199 16323
65,Mahesh Motor Driving School,4.8,"Sr No-84,Manik Moti Complex, C Building, Shop No-4,Katraj,Pune, Pune, Maharashtra 411046",088058 21234
66,Babloo Jain Motor Driving School,4.8,"Salisbury Park, Market Yard, Haveli, Pune, Maharashtra 411037",nan
